Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Latitude,Location,Longitude,NTAName,Notes,Object ID,Operation_Day_Hours,Open_Months,Hosted_By,Website,boroCD,ct2010,point,Precinct
Queens,31,OPENING SOON:Spring Thyme Farm,40.65914,224th Street 147th Avenue,-73.75745,Springfield Gardens South-Brookville,"(OPENING 10/2) No meat, fish, dairy or BPI-Cert. Compostable Products accepted",8,"Saturdays, 9:30am-2:00pm",April-October,ST. PETER'S LUTHERAN CHURCH,THEMIGHTYSTPETERS.ORG,413,069400,POINT (-73.75745 40.65914),105
Manhattan,8,Rodale Pleasant Park Community Garden,40.7942659,"437 E 114th St, New York, NY 10029",-73.9344142,East Harlem North,"Compost volunteer workdays are every Friday 3pm-6pm. To volunteer, email flosparks0306@gmail.com.",103,24/7,Everyday,Rodale Pleasant Park Community Garden,,111,017800,POINT (-73.93441419999994 40.79426590000003),23
Brooklyn,39,Gowanus Salt Lot,40.67541,"2 2nd Ave, Brooklyn, NY 11215",-73.99128,Park Slope-Gowanus,"Not accepted: meat, bones, dairy, or oil",66,24/7,Year Round,NYC Compost Project Hosted by Big Reuse,,306,011900,POINT (-73.99128 40.67541),78
Manhattan,2,East River Park Compost Yard,40.711055,East River Park Compost Yard,-73.978847,Lower East Side,"Not accepted: meat, bones, or dairy",39,"Everyday, Dawn-Dusk",Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,000202,POINT (-73.978847 40.711055),7
Brooklyn,36,Lafayette Garden,40.692405,"1035 Lafayette Ave, Brooklyn, NY 11221",-73.930433,Stuyvesant Heights,,71,"Thursdays, 1:00 PM-4:00 PM",Year Round,Volunteers at Lafayette Garden,https://lafayettegarden933021902.wordpress.com/,303,028900,POINT (-73.930433 40.692405),81
Brooklyn,35,Crown Heights Food Scrap Drop-off Site,40.670745,Franklin Avenue & Eastern Parkway,-73.957743,Crown Heights North,"No meat, fish, or Dairy. No BPI-Certified Plastic Products.",76,"Wednesdays, 8:30-11:30AM",Year-Round,GrowNYC,https://www.grownyc.org/compost,308,021900,POINT (-73.957743 40.670745),77
Queens,19,St. Anastasia Roman Catholic Church,40.7657836,246-02 Northern Blvd; Enter the path to the right of the school yard to the student garden,-73.7408196,Douglas Manor-Douglaston-Little Neck,"Not accepted: meat, bones, or dairy",145,Fridays 8:00AM - 12:00PM; Saturdays 12:00PM - 12:30PM,Year Round,St. Anastasia Roman Catholic Church,https://www.sta.nyc/,411,150701,POINT (-73.74081959999995 40.76578360000008),111
Staten Island,49,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden,40.641619,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden 1000 Richmond Terrace,-74.1012686,West New Brighton-New Brighton-St. George,,113,Thursdays 9:00AM - 2:30PM,Year Round,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Snug Harbor Cultural Center & Botanical Garden,501,009700,POINT (-74.10126859999997 40.641619),120
Manhattan,1,Governors Island Zero Waste Stations,40.691403,Several locations throughout Governors Island,-74.019696,park-cemetery-etc-Manhattan,Accepted: All organics except pet waste,54,Check ferry schedule,May 1 - November 1,NYC Compost Project Hosted by Earth Matter NY,,101,000500,POINT (-74.019696 40.691403),1
Manhattan,3,Hudson River Park's Pier 76 at W. 34th St.,40.756032,Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St,-74.006046,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",49,Every day 7:00 am - 7:00 pm,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,009900,POINT (-74.006046 40.756032),10
Queens,22,Astoria Pug: Most Precious Blood,40.75914,"32-23 36th St, Queens, NY 11106",-73.92146,Astoria,"Not accepted: meat, bones, dairy, or oil",12,24/7,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,005900,POINT (-73.92146 40.75914),114
Manhattan,10,Inwood Greenmarket,40.870106,Seaman Ave and Isham St (N corner),-73.920792,park-cemetery-etc-Manhattan,"Not accepted: meat, bones, or dairy",61,Saturdays 8:00 AM - 12:00PM,Year Round,GrowNYC,https://www.grownyc.org/greenmarket/manhattan/inwood,112,029700,POINT (-73.920792 40.870106),34
Bronx,11,Praxis Housing,40.89683,4339 White Plains Road,-73.85594,Woodlawn-Wakefield,"Not accepted: meat, bones, or dairy. Enter through rear gate to drop off food scraps in brown bins",86,Fridays 9:00AM - 1:00PM,Year Round,Staff at Praxis Housing,https://www.praxishousing.org,212,041800,POINT (-73.85594 40.89683),47
Manhattan,2,Tompkins Square Greenmarket,40.725995,"E 7th St & Avenue A, New York, NY 10009",-73.983207,East Village,"Not accepted: meat, bones, or dairy",44,Sundays 8:00AM - 5:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,003200,POINT (-73.98320700000001 40.725995),9
Queens,26,JH Scraps,40.750278,"35-20 69th Street, Jackson Heights, NY 11372",-73.89678,Jackson Heights,,22,"Saturdays, 11:00 AM-01:00 PM",Year Round,Volunteers at JH Scraps,https://www.jhbg.org/2020/07/28/jh-scraps-reopens,402,029100,POINT (-73.89678 40.750278),108
Queens,26,Moore-Jackson Cemetery/Garden,40.756149,"31-61 51st St, Woodside, NY 11377",-73.907915,Woodside,"Not accepted: meat, bones, or dairy",17,Saturdays 9:00AM - 12:00PM,Year Round,Members at Moore-Jackson Garden,https://www.facebook.com/MooreJacksonNYC/,401,029500,POINT (-73.907915 40.75614900000001),114
Brooklyn,43,4th Avenue Presbyterian Church,40.635514,"6753 4th Avenue, Brooklyn, NY 11220",-74.022767,Bay Ridge,"Not accepted: meat, bones, or dairy",149,24/7,Year Round,4th Avenue Presbyterian Church,,310,012600,POINT (-74.022767 40.635514),68
Brooklyn,36,Bed Stuy Fresh Food Box,40.68133,Decatur St and Lewis Ave,-73.93481,Stuyvesant Heights,"Not accepted: meat, bones, or dairy",72,Saturdays 11:00AM - 3:00PM,Year Round,GrowNYC,https://www.grownyc.org/foodbox/Bed-Stuy,303,027300,POINT (-73.93481 40.68133),81
Staten Island,49,Staten Island Urban Center,40.6369271,208 Bay Street,-74.0767091,Stapleton-Rosebank,"Not accepted: meat, bones, dairy",117,Saturdays 11:00 AM - 1:30 PM,April - October,Staten Island Urban Center,www.siurbancenter.org,501,002100,POINT (-74.07670909999996 40.63692710000004),120
Manhattan,1,Grand Street & Clinton Street,40.715889,Grand Street & Clinton Street,-73.986861,Lower East Side,"Not accepted: meat, bones, or dairy",40,Mondays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,001401,POINT (-73.986861 40.715889),7
Brooklyn,41,CLOSED FOR THE SEASON: Iso Student Farm,40.6674207,"514 Rockaway Avenue, Brooklyn, NY 11212",-73.9102833,Brownsville,,29,Fridays and Saturdays 9:00 AM-1:00 PM,"Seasonal, April-October",Volunteers at Isabahlia LOE Foundation,http://www.isabahlialoeinc.org,316,092400,POINT (-73.91028329999995 40.66742070000004),73
Queens,31,Spring Thyme Farm,40.65914,224th Street 147th Avenue,-73.75745,Springfield Gardens South-Brookville,"No meat, fat, rice, grain, or pasta accepted.",7,Saturday 9:30am-2pm,April-October,St. Peter's Lutheran Church,themightystpeters.org,413,069400,POINT (-73.75745 40.65914),105
Manhattan,5,East 96th Street Food Scrap Drop-off,40.785792,96th St & Lexington Ave,-73.950833,Upper East Side-Carnegie Hill,"Not accepted: meat, bones, or dairy",104,Fridays 7:30AM - 11:30AM,Year Round,GrowNYC,,108,015801,POINT (-73.950833 40.785792),19
Bronx,15,Garden of Youth,40.849329,"Corner of 182 St and Prospect Ave, Bronx, NY 10457",-73.885159,East Tremont,"Not accepted: meat, bones, dairy. Bin will be placed at the side entrance on 182nd. Mask must be worn when entering the garden.",89,Tuesday-Saturday 10:00AM - 4:00PM,April - November,Volunteers at Garden of Youth,,206,037100,POINT (-73.885159 40.849329),48
Brooklyn,34,BK Rot,40.697694,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",-73.925806,Bushwick South,"Not accpepted: meat, dairy, oil, or pet waste",2,Sundays 12:00PM - 3:00PM,Year Round,BK Rot,BKrot.org,304,042300,POINT (-73.925806 40.697694),83
Manhattan,3,6th Ave & Spring St,40.7256282,6th Avenue & Spring Street -NE Corner,-74.003866,SoHo-TriBeCa-Civic Center-Little Italy,"Not accepted: Meat, bones, or dairy",57,Wednesdays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,102,004900,POINT (-74.00386600000002 40.725628200000074),1
Manhattan,8,Lydia's Magic Garden,40.80014,"1665 Park Avenue, Manhattan 10035 between 117th and 118th Streets",-73.94232,East Harlem North,"Bring food scraps inside the garden to place in the compost tumbler. Not accepted: meat, bones, or dairy.",102,Sunday: 3-4 PM; Monday: 1-2 PM; Tuesday 1-2 PM; Wednesday: 1-2 PM; Friday: 8-9 AM,Year Round,Lydia's Magic Garden,https://www.facebook.com/lydiasmagicgarden/,111,018200,POINT (-73.94232 40.80014),25
Bronx,11,OPEN FOR THE SEASON: Riverdale Y Sunday Market,40.8918241,4545 Independence Ave,-73.912916,North Riverdale-Fieldston-Riverdale,"Not accepted: meat, bones, or dairy",85,Sundays 11:30 AM - 12:30PM,April - December,Riverdale Y Sunday Market Volunteers,,208,030900,POINT (-73.912916 40.891824100000065),50
Queens,24,Kehilat Sephardim Food Pantry,40.72087,"15062 78th Rd, Queens, NY 11367",-73.81152,Kew Gardens Hills,"Not accepted: meat, bones, or dairy",136,Sundays 9:00 AM - 2:00 PM,Year Round,Kehilat Sephardim Food Pantry,,408,077904,POINT (-73.81152 40.72087),107
Queens,26,45th Street Composters,40.746199,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",-73.919118,Hunters Point-Sunnyside-West Maspeth,"Not accepted: meat, bones, or dairy",25,9:30-12:30 or until capacity is reached*,Year Round,Volunteers at 45th Street Composters,https://linktr.ee/45thstreetcomposters,402,018300,POINT (-73.919118 40.746199),108
Manhattan,7,Jenny's Garden,40.823225,699 West 138th Street,-73.95617,Hamilton Heights,WEATHER PERMITTING! Check IG/FB for weekend updates.  Please DO NOT leave bags of food scraps by gate when the garden is closed.  Remember to remove produce stickers.,121,Saturdays & Sundays 11:00AM - 1:00PM,Year Round,Jenny's Garden,https://www.instagram.com/jennysgarden138/,109,022500,POINT (-73.95617 40.823225),30
Brooklyn,47,Bay Parkway at 86th Street,40.6022147,Near NE corner of Bay Parkway and 86th Street (Off Bay Parkway D Subways station between 85th and 86th Streets),-73.9938325,Bensonhurst West,"Not accepted: meat, bones, or dairy",141,Tuesdays 10:30 AM - 1:30 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,311,029000,POINT (-73.99383249999994 40.60221470000005),62
Bronx,11,James Baldwin Outdoor Learning Center,40.88207,"100 W Mosholu Pkwy S, The Bronx, NY 10468",-73.88825,Van Cortlandt Village,Site entrance is on the Goulden Ave side of campus,80,Saturdays 10 am - 2 pm,Year Round,Volunteers at James Baldwin Outdoor Learning Center,https://www.jamesbaldwinoutdoorlearningcenter.org/,207,040900,POINT (-73.88825 40.88207),52
Queens,23,Queens County Farm Museum,40.748406,"73-50 Little Neck Parkway, Queens, NY 11004",-73.721002,Bellerose,"Check Calendar of Events at queensfarm.org for dates when admission is charged (and compost site is not accessible without a ticket). *Farm-wide admission is charged for weekend events on 10-12 days each calendar year. Also, stop by the Farm Store to fi",9,Every Day 10:00 AM-04:00 PM,Year Round,Staff at Queens County Farm Museum,http://queensfarm.org/,413,156700,POINT (-73.721002 40.748406),105
Manhattan,3,Abingdon Sq. Greenmarket,40.737472,W 12th St and 8th Ave,-74.005095,West Village,"Not accepted: meat, bones, or dairy",109,Saturdays 8:00AM - 2:00PM,Year Round,GrowNYC,,102,007700,POINT (-74.005095 40.737472),6
Manhattan,1,Governors Island Compost Learning Center,40.6871579,758 Enright Rd,-74.0201142,park-cemetery-etc-Manhattan,Accepted: All organics except pet waste,53,Saturdays and Sundays,May 1- November 1,NYC Compost Project Hosted by Earth Matter NY,,101,000500,POINT (-74.02011419999997 40.687157900000045),1
Brooklyn,39,Nurture BK,40.654917,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",-73.962083,park-cemetery-etc-Brooklyn,"Not accepted: Meat, bones, dairy, or oil",65,Sundays 9:00AM - 11:00AM,Year Round,Nurture BK,https://www.instagram.com/nurturebk_compost/,355,017700,POINT (-73.962083 40.654917),78
Manhattan,3,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,40.7489842,Chelsea Waterside Park near the playground,-74.0071142,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy.",48,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,009900,POINT (-74.00711420000002 40.74898420000005),10
Manhattan,3,Mathews-Palmer Park,40.76113,"437 W 45 St, New York, NY 10036",-73.99292,Clinton,"Please register to participate at bit.ly/HKcompost Setup is inside the park gate, under the mosaic panels, to the right of the park house door. Lids must remain closed and all food scraps must be placed INSIDE the bins",112,"Open during all park hours, typically dawn-dusk",Year Round,Mathews-Palmer Park,,104,012100,POINT (-73.99292 40.76113000000001),18
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,40.75159,"Parking Garden at QBG 42-80 Crommelin Avenue, Flushing, NY 11355",-73.82981,Flushing,"Not accepted: meat, bones, or dairy",126,Every day 8:00AM - 5:00PM,Yea Round,NYC Compost Project Hosted by Queens Botanical Garden,,407,079702,POINT (-73.82981 40.75159),109
Bronx,17,Kelly Street Garden,40.820124,"924 Kelly St, The Bronx, NY 10459",-73.895674,Longwood,,97,Saturdays 10:00AM - 2:00PM,Year Round,Volunteers at Kelly Street Garden,https://www.facebook.com/kellyst.garden/,202,008700,POINT (-73.895674 40.820124),41
Brooklyn,33,Vinegar Hill Community Garden,40.701501,"199 York St, Brooklyn, NY 11201",-73.98263,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"Not accepted: meat, bones, or dairy",38,Sundays 11:00AM - 2:00PM,Year Round,Members of Vinegar Hill Community Garden,https://groundcycle.org/,302,002100,POINT (-73.98263 40.701501),84
Queens,22,Astoria Pug: Steinway,40.764056,"38-12 30th Ave, Queens, NY 11103",-73.915722,Astoria,"Not accepted: meat, bones, dairy, or oil",13,24/7,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,015500,POINT (-73.915722 40.764056),114
Queens,29,Kew Gardens CSA,40.70888,"Kew Gardens Cinemas Park  Austin St. off of Lefferts Blvd Queens, NY 11415",-73.82917,Kew Gardens,"Not accepted: meat, bones, or dairy",129,Sunday 8:30 AM - 10:30 AM,Year Round,"Kew Gardens CSA, sponsored by Kew Gardens Cinemas",kewgardenscsa.org,409,013600,POINT (-73.82917 40.70888),102
Manhattan,4,St. Vartan Park,40.745061,St. Vartan Park  Near the 1st Ave. & E 36th St. entrance,-73.973126,Murray Hill-Kips Bay,"Visit bit.ly/StVartanCompost or email CompostStVartan@gmail.com to volunteer. Not accepted: meat, bones, or dairy",144,Saturdays 10 AM - 4 PM,Year Round,Alliance for Kips Bay with PS281 Green Team and PS116 PTA,bit.ly/StVartanCompost,106,007800,POINT (-73.973126 40.745061),17
Brooklyn,35,Prospect Heights Community Farm,40.67811,"252-256 St Marks Ave, Brooklyn, NY 11238",-73.96762,Prospect Heights,"Not accepted: meat, bones, or dairy",77,Sundays 10:00AM - 1:00PM,Year Round,Prospect Heights Community Farm,https://www.phcfarm.com/2020/07/23/compost-capacity-expanded/,308,020500,POINT (-73.96762 40.67811),77
Brooklyn,42,UCC Youth Farm,40.66547,613 New Lots Avenue,-73.88668,East New York,"Not accepted: meat, bones, or dairy",33,24/7,June - November,East New York Farms,https://ucceny.org/enyf/,305,112400,POINT (-73.88668 40.66547),75
Bronx,17,Lincoln Hospital Greenmarket,40.817685,149th St between Park Ave and Morris Ave,-73.924225,Melrose South-Mott Haven North,"Not accepted: meat, bones, or dairy",94,Fridays 8:00AM - 12:00PM,June 25 - November 19,GrowNYC,https://www.grownyc.org/greenmarket/bronx/lincoln-hospital-fr,201,006500,POINT (-73.924225 40.817685),40
Brooklyn,38,Rappaport Playground,40.636583,NW corner of Fort Hamilton Pkwy and 53rd Street,-74.000556,Borough Park,"Not accepted: meat, bones, or dairy",70,Tuesdays 10 AM - 3 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,312,011600,POINT (-74.000556 40.636583),66
Brooklyn,37,Bushwick Grows! Community Garden,40.697523,"1474 Gates Ave, Brooklyn, NY 11237",-73.913913,Bushwick North,,1,"Saturdays, 10:00 AM-01:00 PM","Seasonal, May-November",Volunteers at Bushwick Grows!,https://www.riseboro.org,304,043300,POINT (-73.913913 40.697523),83
Staten Island,49,Olivet Heavenly Harvest,40.63034,"97 Myrtle Avenue, Staten Island, NY",-74.11616,New Brighton-Silver Lake,"Not accepted: grains, bread, meat, or dairy",116,Saturdays 10:00AM - 2:00PM,March - November,Olivet Heavenly Harvest,olivetheavenlyharvest.com,501,010500,POINT (-74.11616 40.63034),120
Queens,31,Garden of Resilience,40.66392,"179-18 145th Dr, Jamaica, NY 11434",-73.76626,Springfield Gardens South-Brookville,"Not accepted: meat, bones, or dairy.",6,Saturdays 9:00AM - 1:00PM,Year Round,Volunteers at Garden of Resilience,http://www.laurelton.nyc/resilience,413,032000,POINT (-73.76626 40.66392),105
Manhattan,7,Maggie's Garden,40.8285158,564 W 149th St,-73.9481163,Hamilton Heights,"Not accepted: meat, bones, or dairy",122,Sundays 11 AM- 1 PM,April-October,Maggie's Garden,,109,023300,POINT (-73.94811629999998 40.82851580000005),30
Manhattan,8,Pleasant Village Community Garden,40.79667,"342 Pleasant Ave., New York, NY 10035",-73.93172,East Harlem North,,101,"Everyday, Dawn-Dusk",Year Round,Volunteers at Pleasant Village Community Garden,http://facebook.com/pleasantvillagecommunitygarden,111,017800,POINT (-73.93172 40.79667),25
Manhattan,9,William B. Washington Memorial Garden,40.81137,"321 West 126th Street, New York, NY 10027",-73.95155,Central Harlem North-Polo Grounds,"Staffed on Fridays, 8am-12pm. Outside of staffed hours brown bins are locked to the garden gate",133,24/7,Year Round,GrowNYC & Volunteers at William B. Washington Memorial Garden,,110,021500,POINT (-73.95155 40.81137),28
Manhattan,2,Union Square Greenmarket,40.73661,"E 17th St & Union Square E, New York, NY",-73.9893,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",45,"Mondays, Wednesdays, Fridays, & Saturdays, 8:00 AM-5:00 PM",Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,105,005200,POINT (-73.9893 40.736610000000006),13
Bronx,13,Einstein Community Garden,40.8532261,Near 1975 Eastchester Road,-73.8434618,Pelham Parkway,"Drop items inside the blue barrel located in the garden. Remove all plastic, stickers, & ties. before dropping off food scraps. Not accepted: grains, meat, bones, or dairy.",148,Wednesdays 4 PM - 5 PM,Year Round,Volunteers at Einstein Community Garden,,211,029600,POINT (-73.84346179999994 40.85322610000003),49
Queens,26,OPENING SOON: The Connected Chef,40.74387,49-09 5th Street and 49th Avenue,-73.9562,Hunters Point-Sunnyside-West Maspeth,"(OPENING SUNDAY 10/10) No meat, dairy, or fish.",26,"Sundays and Mondays, 9:00am-2:00pm",Year Round,The Connected Chef,theconnectedchef.org,402,000700,POINT (-73.9562 40.74387),108
Queens,22,Astoria Pug: Hoyt,40.77538,"Northwest corner of Hoyt Avenue North and 21st Street, in a courtyard that?s officially called SITTING AREA",-73.92302,Steinway,"Not accepted: meat, bones, or dairy",16,Saturdays 9:00AM - 3:00PM,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,009500,POINT (-73.92302 40.77538),114
